gaia_dr3_source_id,risbud_original_class,jadhav_class,risbud_corrected_sample,jadhav_r3d_pc,jadhav_dist_from_orbit_pc,jadhav_dist_along_orbit_pc,jadhav_delta_phi_gc
458167255512644480,C,T,1,24.399999618530273,4.590000152587891,-24.09000015258789,0.1662999987602234
465055695858551936,C,T,1,22.600000381469727,5.869999885559082,-21.729999542236328,0.1469999998807907
459005186451913856,C,T,0,21.420000076293945,1.2000000476837158,-21.260000228881836,0.1446000039577484
459176916425962624,C,T,1,24.1299991607666,12.210000038146973,-20.780000686645508,0.13330000638961792
459012779953986816,C,T,1,20.709999084472656,1.909999966621399,-20.780000686645508,0.1395999938249588
458031294029981056,C,T,1,23.860000610351562,11.319999694824219,-20.780000686645508,0.14720000326633453
464158563090878464,C,T,1,22.540000915527344,9.039999961853027,-20.780000686645508,0.1468999981880188
464168630494064128,C,T,1,22.899999618530273,10.25,-20.309999465942383,0.1462000012397766
465113866895445376,C,T,1,21.75,8.09000015258789,-20.309999465942383,0.13660000264644623
464216734127968640,C,T,1,23.280000686645508,11.170000076293945,-20.309999465942383,0.1453000009059906
458944266637742080,C,T,1,19.709999084472656,4.239999771118164,-19.3700008392334,0.1282999962568283
458078985347313152,C,T,1,20.829999923706055,8.319999694824219,-18.889999389648438,0.13490000367164612
506849747741320832,C,T,0,23.81999969482422,15.130000114440918,-18.420000076293945,0.11540000140666962
464241163903378944,C,T,1,19.299999237060547,7.559999942779541,-17.950000762939453,0.1257999986410141
459218732228130816,C,T,1,20.09000015258789,9.050000190734863,-17.950000762939453,0.1152999997138977
458788788821813120,C,T,0,21.579999923706055,12.15999984741211,-17.950000762939453,0.1143999993801117
459302810505754624,C,T,0,19.110000610351562,7.800000190734863,-17.479999542236328,0.11270000040531158
507240864641463296,C,T,1,22.1299991607666,13.6899995803833,-17.479999542236328,0.10859999805688858
463961406912033152,C,T,1,23.059999465942383,15.460000038146973,-17.010000228881836,0.12770000100135803
458268066987327104,C,T,0,24.479999542236328,18.020000457763672,-16.530000686645508,0.11590000241994858
459054698834823552,C,T,0,16.610000610351562,2.4800000190734863,-16.530000686645508,0.1128000020980835
507402832147528960,C,T,1,18.719999313354492,9.680000305175781,-16.059999465942383,0.1023000031709671
506873490321177472,C,T,0,23.149999618530273,16.469999313354492,-16.059999465942383,0.10029999911785126
458930316584175104,C,T,1,16.049999237060547,3.4000000953674316,-15.59000015258789,0.10740000009536743
458781985593495296,C,T,1,17.829999923706055,8.300000190734863,-15.59000015258789,0.10320000350475311
507332261547778432,C,T,0,19.920000076293945,12.239999771118164,-15.59000015258789,0.09769999980926514
458479757336672000,C,T,0,18.969999313354492,10.720000267028809,-15.59000015258789,0.10719999670982361
507147337433966464,C,T,0,24.40999984741211,19.309999465942383,-15.119999885559082,0.08730000257492065
506878816080454656,C,T,0,20.600000381469727,14.25,-15.119999885559082,0.09210000187158585
465040886811367040,C,T,1,18.610000610351562,10.739999771118164,-15.119999885559082,0.10869999974966049
506723819300561024,C,T,0,21.280000686645508,14.949999809265137,-15.119999885559082,0.09489999711513519
465195539993629312,C,T,1,20.360000610351562,13.520000457763672,-15.119999885559082,0.10649999976158142
458758449172009600,C,T,0,18.84000015258789,12.020000457763672,-14.640000343322754,0.09359999746084213
507376718743777280,C,T,1,17.530000686645508,9.75,-14.640000343322754,0.09179999679327011
465383552181000064,C,T,1,18.299999237060547,10.949999809265137,-14.640000343322754,0.09399999678134918
465027864470219392,C,T,1,16.459999084472656,7.079999923706055,-14.640000343322754,0.10440000146627426
457990474658992384,C,T,1,20.670000076293945,14.800000190734863,-14.640000343322754,0.10819999873638153
513544227362081024,C,T,1,22.799999237060547,17.649999618530273,-14.640000343322754,0.0877000018954277
506876101661268992,C,T,1,20.40999984741211,14.369999885559082,-14.640000343322754,0.08969999849796295
507259934297040768,C,T,1,15.960000038146973,8.079999923706055,-13.699999809265137,0.08749999850988388
464196083925282944,C,T,1,21.3799991607666,16.469999313354492,-13.699999809265137,0.10379999876022339
506984983366254976,C,T,1,22.899999618530273,18.329999923706055,-13.699999809265137,0.08179999887943268
507279656786735104,C,T,0,16.350000381469727,8.819999694824219,-13.699999809265137,0.08699999749660492
458215840181883904,C,T,0,18.59000015258789,13.100000381469727,-13.229999542236328,0.09929999709129333
459255772024335744,C,T,1,13.260000228881836,2.25,-13.229999542236328,0.08829999715089798
507051508127066496,C,T,0,23.68000030517578,19.770000457763672,-13.229999542236328,0.07530000060796738
458795111013503488,C,T,0,15.739999771118164,8.770000457763672,-13.229999542236328,0.0843999981880188
507262751795559168,C,T,1,14.890000343322754,6.710000038146973,-13.229999542236328,0.08529999852180481
465360363658310016,C,T,1,15.84000015258789,8.510000228881836,-13.229999542236328,0.0885000005364418
465349231103137920,C,T,1,14.869999885559082,6.550000190734863,-13.229999542236328,0.08860000222921371
459171281428834944,C,T,1,14.119999885559082,5.519999980926514,-13.229999542236328,0.0851999968290329
459041401615690496,C,T,1,13.029999732971191,2.0399999618530273,-12.75,0.08889999985694885
459036488173206656,C,T,1,13.0,2.950000047683716,-12.75,0.08829999715089798
458197320283280768,C,T,1,17.219999313354492,11.649999618530273,-12.75,0.09489999711513519
507218599531252992,C,T,0,14.819999694824219,7.550000190734863,-12.75,0.08209999650716782
507399297394092800,C,T,1,15.020000457763672,8.289999961853027,-12.75,0.07970000058412552
465137605174350336,C,T,1,18.6200008392334,13.420000076293945,-12.75,0.09449999779462814
458960862389706112,C,T,1,15.0,8.84000015258789,-12.279999732971191,0.08900000154972076
507432660700780800,C,T,0,16.020000457763672,10.460000038146973,-12.279999732971191,0.07479999959468842
458857954974047360,C,T,1,15.0600004196167,8.65999984741211,-12.279999732971191,0.08959999680519104
459270546713060096,C,T,0,12.619999885559082,4.599999904632568,-11.8100004196167,0.08169999718666077
507142389631659648,C,T,0,20.059999465942383,16.149999618530273,-11.8100004196167,0.0689999982714653
458528788680963456,C,T,1,20.260000228881836,16.6200008392334,-11.8100004196167,0.07980000227689743
465289582596117888,C,T,1,13.869999885559082,8.140000343322754,-11.34000015258789,0.07829999923706055
458868984449856896,C,T,1,14.369999885559082,8.539999961853027,-11.34000015258789,0.08489999920129776
459022400680544256,C,T,0,12.579999923706055,5.449999809265137,-11.34000015258789,0.08110000193119049
507329100451889024,C,T,0,15.210000038146973,10.199999809265137,-11.34000015258789,0.0689999982714653
458795145373273472,C,T,1,13.670000076293945,7.900000095367432,-11.34000015258789,0.07240000367164612
507276530050421504,C,T,0,14.029999732971191,8.59000015258789,-11.34000015258789,0.0689999982714653
507546253994631808,C,T,0,16.329999923706055,12.260000228881836,-10.859999656677246,0.06419999897480011
459105379449631616,C,T,1,11.489999771118164,4.940000057220459,-10.390000343322754,0.07129999995231628
458301292855068288,C,T,0,19.489999771118164,16.510000228881836,-10.390000343322754,0.07699999958276749
507508213464685056,C,T,1,16.06999969482422,12.109999656677246,-10.390000343322754,0.06270000338554382
507343531541908864,C,T,1,14.6899995803833,10.289999961853027,-10.390000343322754,0.06350000202655792
458937257251264256,C,T,1,11.829999923706055,5.429999828338623,-10.390000343322754,0.07530000060796738
458237899133772544,C,T,1,16.389999389648438,12.609999656677246,-10.390000343322754,0.08030000329017639
507314875519088000,C,T,0,14.5,10.199999809265137,-10.390000343322754,0.0625
506943790344758912,C,T,1,20.8700008392334,18.020000457763672,-10.390000343322754,0.061799999326467514
514554987790499584,T,C,0,25.43000030517578,23.389999389648438,-9.920000076293945,0.051600001752376556
461612330377905024,T,C,1,40.380001068115234,39.18000030517578,-9.920000076293945,0.08820000290870667
464084174257687552,T,C,1,27.829999923706055,26.110000610351562,-9.449999809265137,0.08349999785423279
459559993143948160,T,C,1,63.209999084472656,62.54999923706055,-8.970000267028809,0.10819999873638153
461007087886793984,T,C,1,33.470001220703125,32.310001373291016,-8.5,0.08240000158548355
509528192426476928,T,C,1,39.7400016784668,38.939998626708984,-8.029999732971191,0.026799999177455902
459883936758272896,T,C,1,49.56999969482422,48.95000076293945,-8.029999732971191,0.0892999991774559
461192355595019520,T,C,1,44.779998779296875,44.16999816894531,-7.559999942779541,0.07959999889135361
509178032334061824,T,C,1,43.130001068115234,42.560001373291016,-7.090000152587891,0.01850000023841858
457929829719890304,T,C,0,26.649999618530273,25.760000228881836,-6.610000133514404,0.06589999794960022
506334592178780160,T,C,1,27.31999969482422,26.6200008392334,-6.139999866485596,0.024399999529123306
509161883257541248,T,C,0,39.97999954223633,39.529998779296875,-6.139999866485596,0.014399999752640724
460261893880780544,T,C,1,59.029998779296875,58.72999954223633,-6.139999866485596,0.08209999650716782
464182717986724736,T,C,1,22.719999313354492,21.84000015258789,-6.139999866485596,0.05810000002384186
458162651307756928,T,C,1,22.479999542236328,21.649999618530273,-6.139999866485596,0.05719999969005585
509658106598936320,T,C,1,33.33000183105469,32.869998931884766,-5.670000076293945,0.013199999928474426
457612448818505472,T,C,1,23.31999969482422,22.56999969482422,-5.670000076293945,0.054099999368190765
507906137898588672,T,C,1,24.139999389648438,23.479999542236328,-5.670000076293945,0.021299999207258224
464532087807865856,T,C,1,31.399999618530273,30.90999984741211,-5.670000076293945,0.056299999356269836
464210583734478464,T,C,1,22.350000381469727,21.639999389648438,-5.670000076293945,0.05310000106692314
464423815971601920,T,C,1,22.969999313354492,22.3799991607666,-5.199999809265137,0.047200001776218414
458156535274362496,T,C,1,22.559999465942383,21.90999984741211,-5.199999809265137,0.05290000140666962
412879642875128448,T,C,0,48.5099983215332,48.25,-5.199999809265137,0.005499999970197678
508315396741272064,T,C,1,28.09000015258789,27.670000076293945,-4.71999979019165,0.011900000274181366
509178028031767680,T,C,1,41.400001525878906,41.119998931884766,-4.71999979019165,0.004900000058114529
464269648124423040,T,C,1,23.739999771118164,23.3799991607666,-4.25,0.04360000044107437
460644794503521536,T,C,1,51.869998931884766,51.70000076293945,-4.25,0.06689999997615814
509724627055284864,T,C,0,36.66999816894531,36.43000030517578,-4.25,0.0017000000225380063
457501879180101888,T,C,1,23.549999237060547,23.1299991607666,-4.25,0.04320000112056732
460212003541511040,T,C,1,61.43000030517578,61.31999969482422,-3.7799999713897705,0.07020000368356705
465648092110399616,T,C,1,21.829999923706055,21.459999084472656,-3.7799999713897705,0.03500000014901161
509463802281917312,T,C,0,45.369998931884766,45.209999084472656,-3.7799999713897705,-0.006500000134110451
511445942560398208,T,C,1,39.52000045776367,39.33000183105469,-3.7799999713897705,-0.003000000026077032
508280624685119744,T,C,0,26.899999618530273,26.690000534057617,-3.309999942779541,0.0024999999441206455
460903424555395584,L,C,1,35.650001525878906,35.5099983215332,-3.309999942779541,0.04800000041723251
454520896995360640,T,C,1,47.27000045776367,47.150001525878906,-3.309999942779541,0.058800000697374344
506406300955121664,T,C,1,30.520000457763672,30.389999389648438,-2.8299999237060547,-0.0005000000237487257
512515909117529600,T,C,1,49.459999084472656,49.38999938964844,-2.8299999237060547,-0.01899999938905239
465197601577890816,T,C,1,22.270000457763672,22.09000015258789,-2.8299999237060547,0.030400000512599945
512857135677620096,L,C,0,44.599998474121094,44.540000915527344,-2.359999895095825,-0.017899999395012856
508149370480122240,T,C,1,26.6200008392334,26.56999969482422,-1.8899999856948853,-0.00800000037997961
464397466350544512,T,C,1,24.420000076293945,24.360000610351562,-1.8899999856948853,0.026200000196695328
509481424520563072,L,C,1,31.920000076293945,31.889999389648438,-1.4199999570846558,-0.011800000444054604
460620197231411712,L,C,1,47.15999984741211,47.150001525878906,-1.4199999570846558,0.04309999942779541
506641905686476800,L,C,1,28.56999969482422,28.559999465942383,-0.9399999976158142,-0.014000000432133675
457718345531288320,L,C,1,35.880001068115234,35.869998931884766,-0.9399999976158142,0.032099999487400055
511400626367445632,L,C,0,34.25,34.2400016784668,-0.9399999976158142,-0.020400000736117363
454855492128215552,L,C,1,39.54999923706055,39.54999923706055,-0.4699999988079071,0.03139999881386757
506126990634412416,L,C,0,23.93000030517578,23.93000030517578,-0.4699999988079071,-0.009200000204145908
464255217034048640,L,C,0,22.81999969482422,22.81999969482422,0.0,0.014700000174343586
464458901563727872,L,C,1,38.540000915527344,38.540000915527344,0.0,0.025499999523162842
464268892210207744,L,C,1,26.889999389648438,26.889999389648438,0.0,0.01979999989271164
508313335157025664,L,C,0,24.260000228881836,24.260000228881836,0.4699999988079071,-0.0203000009059906
509712635504955776,L,C,1,34.79999923706055,34.790000915527344,0.4699999988079071,-0.030300000682473183
464727835234427776,L,C,1,35.29999923706055,35.29999923706055,0.4699999988079071,0.01860000006854534
509447447046630272,L,C,1,41.5099983215332,41.5099983215332,0.4699999988079071,-0.031700000166893005
508759496361209600,L,C,1,25.799999237060547,25.780000686645508,0.9399999976158142,-0.025599999353289604
511884652000733952,L,C,1,31.100000381469727,31.09000015258789,0.9399999976158142,-0.02759999968111515
510888460105761280,L,C,1,50.27000045776367,50.2599983215332,0.9399999976158142,-0.04309999942779541
511273495339628288,L,C,1,30.469999313354492,30.459999084472656,0.9399999976158142,-0.027899999171495438
506508555538550528,L,C,1,28.100000381469727,28.09000015258789,0.9399999976158142,-0.024700000882148743
454855492128216704,L,C,1,42.25,42.16999816894531,2.359999895095825,0.014299999922513962
510001497828244992,L,C,0,37.790000915527344,37.709999084472656,2.359999895095825,-0.04450000077486038
459885826543806336,L,C,1,59.5,59.40999984741211,3.309999942779541,0.02239999920129776
464421273350877952,L,C,1,29.799999237060547,29.610000610351562,3.309999942779541,-0.005100000184029341
457880901452522752,L,C,1,38.68000030517578,38.5099983215332,3.7799999713897705,0.004600000102072954
413181183942777600,L,C,1,43.810001373291016,43.65999984741211,3.7799999713897705,-0.05209999904036522
512289474139811840,L,C,1,40.58000183105469,40.33000183105469,4.71999979019165,-0.061500001698732376
465314630845923200,L,C,1,20.469999313354492,19.8700008392334,4.71999979019165,-0.021800000220537186
465131905757622400,L,C,1,22.950000762939453,22.459999084472656,4.71999979019165,-0.01860000006854534
509454181555456896,L,C,1,40.95000076293945,40.630001068115234,5.199999809265137,-0.06360000371932983
458972682139718400,L,C,1,23.75,23.049999237060547,5.670000076293945,-0.021700000390410423
458979554087233408,L,C,1,22.579999923706055,21.850000381469727,5.670000076293945,-0.02250000089406967
464016657371946240,L,C,1,43.70000076293945,43.310001373291016,5.670000076293945,-0.008200000040233135
506463716079488768,L,C,1,27.43000030517578,26.790000915527344,6.139999866485596,-0.05640000104904175
458062904988839552,L,C,1,27.799999237060547,26.93000030517578,7.079999923706055,-0.026399999856948853
509450883021880448,L,C,1,37.86000061035156,37.099998474121094,7.559999942779541,-0.07769999653100967
511327745060725376,L,C,1,25.790000915527344,24.709999084472656,7.559999942779541,-0.06880000233650208
459314802053875712,L,C,1,17.530000686645508,14.609999656677246,9.449999809265137,-0.055399999022483826
