group,n_total,n_valid,median,p05,p95,p99
kos_only,178,178,0.0032825665435185503,-0.012902658351834396,0.33380839568688125,1.0158766640769867
risbud_only,393,393,5.1557631345344745e-05,-0.004690989299919046,0.020861674806283786,0.07917450738204572
shared,885,885,0.00043610802341076393,-0.005942703449759401,0.014309762436833639,0.13102024064413786
