group_type,group,n_group,diagnostic,n_valid,n_missing,min,p01,p05,p16,median,p84,p95,p99,max
overall,all,1456,phot_g_mean_mag,1456,0,6.688835144042969,8.43730616569519,9.958200216293335,11.564814376831055,14.468894004821777,16.61775894165039,17.185062885284424,17.433330249786376,17.604469299316406
overall,all,1456,phot_bp_mean_mag,1456,0,7.3678364753723145,8.61753888130188,10.146349906921387,11.913759422302245,15.126533031463623,17.791960525512696,18.53259038925171,18.875242710113525,19.111713409423828
overall,all,1456,phot_rp_mean_mag,1456,0,5.8919572830200195,8.089279079437256,9.63285231590271,11.027213096618652,13.700016021728516,15.523600578308105,16.04563045501709,16.272315883636473,16.426536560058594
overall,all,1456,phot_g_mean_flux_over_error,1456,0,342.2477111816406,711.8827819824219,981.7000122070312,1419.3953369140627,2846.003173828125,5015.330078125,6785.3743896484375,8143.818579101565,10479.064453125
overall,all,1456,phot_bp_mean_flux_over_error,1456,0,23.199378967285156,44.839426612854005,69.11615753173828,122.75336608886718,573.1495666503906,1910.2599365234378,2965.2151489257812,4130.520483398438,7024.591796875
overall,all,1456,phot_rp_mean_flux_over_error,1456,0,17.30510902404785,99.4793212890625,273.080078125,401.32521362304686,972.6687927246094,3049.542333984375,4588.68994140625,6151.460888671878,8734.853515625
overall,all,1456,phot_bp_rp_excess_factor,1456,0,1.1640195846557617,1.170626986026764,1.183368295431137,1.210456371307373,1.2681782245635986,1.381170916557312,1.4220889508724213,1.607528877258301,2.4127776622772217
overall,all,1456,bp_rp,1456,0,0.15802001953125,0.3360451698303223,0.5491526126861572,0.8963645935058594,1.4711523056030273,2.2581800460815433,2.5090160369873047,2.7239019393920905,2.9537200927734375
overall,all,1456,bp_g,1456,0,-0.29225635528564453,0.09814186096191406,0.19382762908935547,0.3558635711669922,0.6663131713867188,1.1810226440429688,1.3748469352722168,1.5198876380920412,1.6803970336914062
overall,all,1456,g_rp,1456,0,0.1150979995727539,0.2214580774307251,0.34932518005371094,0.5375532150268555,0.7994604110717773,1.0845891952514648,1.15110182762146,1.2493247985839846,1.485696792602539
