group,n_total,n_has_position,pct_has_position,n_has_parallax,pct_has_parallax,n_has_pm,pct_has_pm,n_has_5d,pct_has_5d,n_has_gbp_rp,pct_has_gbp_rp,n_has_rv,pct_has_rv,n_has_rv_measurement,pct_has_rv_measurement,n_has_6d,pct_has_6d
kos_only,178,178,100.0,178,100.0,178,100.0,178,100.0,178,100.0,75,42.13483146067416,75,42.13483146067416,75,42.13483146067416
risbud_only,393,393,100.0,393,100.0,393,100.0,393,100.0,393,100.0,231,58.778625954198475,231,58.778625954198475,231,58.778625954198475
shared,885,885,100.0,885,100.0,885,100.0,885,100.0,885,100.0,580,65.53672316384181,580,65.53672316384181,580,65.53672316384181
