group,n_total,n_valid,median,p05,p95,p99
C,940,940,0.0006995544572656609,-0.006665366095611602,0.021088502041069546,0.16424437232214137
L,184,184,0.0006761068244446333,-0.007115797322112338,0.110270904816303,0.7086440075171303
T,332,332,-0.0002838448319681941,-0.005489130166293099,0.027363974507728386,0.11258681526493669
