group_type,group,n_group,diagnostic,n_valid,n_missing,min,p01,p05,p16,median,p84,p95,p99,max
catalogue_status,kos_only,178,ruwe,178,0,0.9198927283287048,0.9380733728408813,0.9578957796096802,0.9891707062721252,1.233401894569397,2.2127417755126957,4.6481780052185115,8.611745233535759,11.427650451660156
catalogue_status,kos_only,178,visibility_periods_used,178,0,17.0,17.77,19.0,20.0,21.0,23.0,26.150000000000006,28.0,29.0
catalogue_status,kos_only,178,astrometric_n_good_obs_al,178,0,263.0,303.54,338.7,362.64,429.5,616.76,804.4000000000001,1060.1099999999994,1161.0
catalogue_status,kos_only,178,astrometric_n_bad_obs_al,178,0,0.0,0.0,0.0,0.0,2.0,6.680000000000007,28.150000000000006,55.679999999999836,90.0
catalogue_status,kos_only,178,astrometric_gof_al,178,0,-2.132892608642578,-1.912100465297699,-1.126052975654602,-0.39342540621757505,7.211833477020264,31.701211090087916,87.34280815124525,144.0764279174804,175.5787811279297
catalogue_status,kos_only,178,astrometric_excess_noise,178,0,0.0,0.0,0.0,0.0,0.1788310930132866,0.41848539829254167,0.8297662585973744,1.2427613544464093,3.654602289199829
catalogue_status,kos_only,178,astrometric_excess_noise_sig,178,0,0.0,0.0,0.0,0.0,7.664014101028442,97.70683990478517,649.8211364746095,1439.8295288085924,2459.682861328125
catalogue_status,kos_only,178,ipd_frac_multi_peak,178,0,0.0,0.0,0.0,0.0,0.0,2.0,52.30000000000001,87.21999999999986,98.0
catalogue_status,kos_only,178,ipd_gof_harmonic_amplitude,178,0,0.00013726390898227692,0.0014282790885772555,0.003940695652272552,0.00840355757623911,0.017553230747580528,0.029086131900548935,0.041300979442894466,0.1098465254902834,0.1704612374305725
catalogue_status,kos_only,178,parallax_error,178,0,0.011574682779610157,0.014371332861483097,0.019093022495508195,0.026161164045333862,0.07190500944852829,0.0864975181221962,0.11060135588049894,0.14512585297226868,0.38191625475883484
catalogue_status,kos_only,178,pmra_error,178,0,0.009754356928169727,0.011594597017392516,0.015023421356454491,0.02189765848219395,0.06071850471198559,0.07900884062051773,0.0950753126293421,0.12899941414594637,0.3178029954433441
catalogue_status,kos_only,178,pmdec_error,178,0,0.010724199935793877,0.012758687864989042,0.019139031320810317,0.026856851205229758,0.06668789312243462,0.09228429049253464,0.10878942012786867,0.1678186734020705,0.39739981293678284
catalogue_status,kos_only,178,parallax_over_error,178,0,7.682392600992278,18.39562441752644,22.32760590725394,29.935110483833252,36.64700796145825,99.37540416950844,139.69269143646216,171.50039221544438,218.39439023674876
catalogue_status,kos_only,178,abs_pmra_over_error,178,0,51.0736951969149,109.61070394730174,149.1866913534434,201.12593114080306,258.5122201303234,708.0665410632911,1053.4515616025622,1411.2073608782268,1833.1013924037597
catalogue_status,kos_only,178,abs_pmdec_over_error,178,0,34.669426450755644,79.49194588328926,123.67199130101595,146.73794205185123,195.05462977789512,513.1171358980143,747.7709331618025,972.3554534934509,1162.5755972421991
catalogue_status,risbud_only,393,ruwe,393,0,0.7491867542266846,0.8636564993858338,0.9025932312011719,0.9524629640579224,1.0084768533706665,1.0771608543395996,1.2099051475524902,1.3594269227981564,1.3914324045181274
catalogue_status,risbud_only,393,visibility_periods_used,393,0,16.0,17.92,19.0,20.0,21.0,26.0,28.0,30.0,30.0
catalogue_status,risbud_only,393,astrometric_n_good_obs_al,393,0,267.0,289.92,323.0,352.44,438.0,658.8399999999999,891.1999999999997,1146.9599999999994,1254.0
catalogue_status,risbud_only,393,astrometric_n_bad_obs_al,393,0,0.0,0.0,0.0,1.0,2.0,5.0,9.399999999999977,21.079999999999984,35.0
catalogue_status,risbud_only,393,astrometric_gof_al,393,0,-7.671349048614502,-4.1017327308654785,-3.014203500747681,-1.3950167083740235,0.2790447771549225,2.3511811065673816,6.421897506713866,10.205795059204096,12.594508171081543
catalogue_status,risbud_only,393,astrometric_excess_noise,393,0,0.0,0.0,0.0,0.0,0.010913347825407982,0.1192849040031433,0.18421387672424314,0.27903675436973574,0.3361147940158844
catalogue_status,risbud_only,393,astrometric_excess_noise_sig,393,0,0.0,0.0,0.0,0.0,0.020585788413882256,8.811932716369625,28.141843032836892,61.217619934082,81.90693664550781
catalogue_status,risbud_only,393,ipd_frac_multi_peak,393,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,16.0
catalogue_status,risbud_only,393,ipd_gof_harmonic_amplitude,393,0,0.00010035181185230613,0.0024527467880398036,0.004696251172572374,0.008700119107961654,0.01600383035838604,0.022683529630303383,0.028620975092053406,0.038728597462177244,0.04721621423959732
catalogue_status,risbud_only,393,parallax_error,393,0,0.010691639967262745,0.01117818582803011,0.012039703689515591,0.014006596431136132,0.02259981445968151,0.05693352907896041,0.07165221422910689,0.08056812703609464,0.08717096596956253
catalogue_status,risbud_only,393,pmra_error,393,0,0.006766282953321934,0.008367113992571831,0.010097844526171684,0.012096487358212471,0.019727416336536407,0.04697550415992736,0.06182458251714705,0.07023155242204665,0.07967559248209
catalogue_status,risbud_only,393,pmdec_error,393,0,0.008554467000067234,0.009303402490913867,0.011533476226031781,0.014060041084885597,0.02260592207312584,0.05536806792020797,0.07014309316873549,0.08357599794864654,0.08475049585103989
catalogue_status,risbud_only,393,parallax_over_error,393,0,34.38319691982154,36.417790940130224,39.53248179853236,47.02477909243442,121.29802862347037,192.22974639642132,223.15874224136215,252.6479650401956,263.1281145245118
catalogue_status,risbud_only,393,abs_pmra_over_error,393,0,97.58283596300835,158.00431825952006,234.94831121987886,323.9843441915067,723.862807129417,1308.6684357501524,1722.4656127862092,2252.9266324244973,2573.4540371097037
catalogue_status,risbud_only,393,abs_pmdec_over_error,393,0,11.05014988576574,82.24836818219936,181.39003997983968,245.82240153856375,605.3049021955278,1019.0149211928315,1275.8737096895888,1536.0041264304386,1741.068263866153
catalogue_status,shared,885,ruwe,885,0,0.7650055885314941,0.8566260528564453,0.9047661662101746,0.9522480177879333,1.0051815509796143,1.076657862663269,1.2113077640533447,1.3642965030670164,1.3914086818695068
catalogue_status,shared,885,visibility_periods_used,885,0,18.0,18.0,19.0,20.0,21.0,23.0,25.0,29.0,31.0
catalogue_status,shared,885,astrometric_n_good_obs_al,885,0,301.0,324.0,342.0,360.0,408.0,599.6799999999998,795.7999999999997,1102.12,1250.0
catalogue_status,shared,885,astrometric_n_bad_obs_al,885,0,0.0,0.0,0.0,0.0,2.0,6.0,11.0,23.0,36.0
catalogue_status,shared,885,astrometric_gof_al,885,0,-6.199153900146484,-4.1824479675292965,-2.7334911823272705,-1.3933487558364868,0.1751706898212433,2.309858493804929,5.838200950622557,10.567142562866211,13.272790908813477
catalogue_status,shared,885,astrometric_excess_noise,885,0,0.0,0.0,0.0,0.0,0.02245747298002243,0.1141164642572403,0.16230635046958922,0.23280037999153136,0.3665791153907776
catalogue_status,shared,885,astrometric_excess_noise_sig,885,0,0.0,0.0,0.0,0.0,0.20086897909641266,13.401291236877439,31.53017768859859,53.20744583129879,109.88406372070312
catalogue_status,shared,885,ipd_frac_multi_peak,885,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.159999999999968,47.0
catalogue_status,shared,885,ipd_gof_harmonic_amplitude,885,0,0.00016602111281827092,0.00279180864803493,0.006268834136426449,0.010230404250323772,0.017827903851866722,0.02634277433156966,0.03261245563626289,0.04274550750851631,0.06857220083475113
catalogue_status,shared,885,parallax_error,885,0,0.009793141856789589,0.011197025664150715,0.012346478179097176,0.014131132401525975,0.02050028182566166,0.045901194065809225,0.061002869904041274,0.06901008814573287,0.07685081660747528
catalogue_status,shared,885,pmra_error,885,0,0.0072598885744810104,0.008946770802140236,0.010481152310967445,0.011909377425909043,0.017412351444363594,0.039321044683456416,0.05178484693169594,0.062303299307823176,0.06822912395000458
catalogue_status,shared,885,pmdec_error,885,0,0.008718971163034439,0.010054254531860351,0.012381176836788655,0.014459207132458686,0.021503042429685593,0.04587503761053083,0.06353689432144165,0.07468102216720578,0.08891266584396362
catalogue_status,shared,885,parallax_over_error,885,0,36.247971955155045,39.224343795168025,44.28826477519886,58.73966451727889,131.29735590194494,188.90871610085875,216.7641484530857,242.42789173850352,274.2282665078807
catalogue_status,shared,885,abs_pmra_over_error,885,0,199.97736360423286,248.91555053453843,298.65036619816215,398.6328609823924,912.7365154049542,1336.3739623549907,1528.3269958544663,1818.604960577491,2296.494102248289
catalogue_status,shared,885,abs_pmdec_over_error,885,0,154.71559443711038,181.1548561803953,213.0008881074508,296.47705716540213,635.9166475763436,961.7828540751382,1126.8038853007652,1352.0186773872547,1468.0618839881008
