GaiaDR3,Cluster,Ref,ClusterID,Grade,Class,RA_ICRS,DE_ICRS,rmedgeo,pmRA,pmDE,RV,Gmag,BPmag,RPmag,BP-RP,GMAG,r3d,v3d,rsky,pmR,e_pmR,pmT,e_pmT,deltaRVGC,deltaphiGC,distFromO,distAlongO,cmdDist,q,e_q,MassSysMLR,MassSys,e_MassSys,MassA,e_MassA,MassB,e_MassB,_RA.icrs,_DE.icrs,has_rv,cluster_ra,cluster_dec,cluster_distance,r_cluster_pc,distance_ratio
507933587023501312,Stock_2,Kos2024,105,S,L,31.054946,60.077526,385.2543,16.0531,-12.254,8.0941,12.946,13.391,12.334,1.057,5.0173,17.94,1.06,1.491,-0.0494,0.0089,-0.3653,0.0213,0.717,-0.1202,1.69,17.95,,,,,,,,,,,31.054803,60.077581,True,33.8500429,59.57700901,370.24623325,17.940345436907638,1.0405353664729011
507531204428152448,Stock_2,Risbud2025,106,S,L,32.605154,60.275052,379.1374,16.5083,-13.4007,6.858,10.9105,11.2219,10.426,0.7959,3.0165,10.79,1.59,0.9361,-0.6774,0.0081,-0.4031,0.0257,0.5173,-0.0689,3.48,10.39,,,,,,,,,,,32.605006,60.275112,True,33.8500429,59.57700901,370.24623325,10.794730743839736,1.0240141990695053
507966301798030336,Stock_2,Kos2024,105,S,L,31.388835,60.344705,388.8286,16.1922,-12.6612,7.5665,13.626,14.1543,12.9369,1.2174,5.6773,20.92,1.09,1.4514,-0.5085,0.0026,-0.2079,0.0171,0.9751,-0.1354,4.97,20.31,,,,,,,,,,,31.388689,60.344761,True,33.8500429,59.57700901,370.24623325,20.921171098347628,1.0501892121545304
507057658519900416,Stock_2,Kos2024,105,S,L,31.132684,59.335464,389.6844,16.0381,-12.2204,6.1926,15.1152,15.8482,14.2781,1.5701,7.1617,21.55,1.58,1.4017,-0.3821,0.0259,-0.1181,0.0226,-0.536,-0.1334,7.05,20.31,,,,,,,,,,,31.132544,59.335518,True,33.8500429,59.57700901,370.24623325,21.54537485130566,1.0525006468786269
507904076314350848,Stock_2,Kos2024,105,S,L,29.235174,59.894135,384.9569,16.1234,-12.0595,11.6197,15.0114,15.712,14.1995,1.5125,7.0843,21.34,4.76,2.3462,0.2127,0.0149,-0.0617,0.0217,3.0291,-0.1445,3.78,20.78,,,,,,,,,,,29.235031,59.894189,True,33.8500429,59.57700901,370.24623325,21.342525601626413,1.0397321172476777
507833157812702464,Stock_2,Kos2024,105,S,L,30.38349,59.803062,387.4868,16.7469,-13.4471,3.1945,8.2415,8.3613,7.9924,0.369,0.3002,20.81,4.77,1.7635,-0.9647,0.0166,0.979,0.0287,-1.3278,-0.1388,2.5,20.78,,,,,,,,,,,30.383342,59.803122,True,33.8500429,59.57700901,370.24623325,20.813156649766277,1.046565137472604
509084161527323648,Stock_2,Kos2024,105,S,L,25.241968,58.651539,376.3741,17.5583,-11.2454,7.5813,11.0131,11.2374,10.6362,0.6012,3.135,30.02,1.34,4.5065,0.086,0.0115,-0.1669,0.0085,0.9712,-0.1507,21.81,20.78,,,,,,,,,,,25.241818,58.651589,True,33.8500429,59.57700901,370.24623325,30.01626041659675,1.0165507875561892
507902598845644672,Stock_2,Kos2024,105,S,L,29.757526,60.163624,386.4211,16.2151,-12.4468,5.5323,9.8951,10.0396,9.6261,0.4135,1.9598,21.46,1.45,2.1355,-0.1343,0.0082,0.1632,0.017,-0.7125,-0.1464,1.15,21.25,,,,,,,,,,,29.757381,60.163679,True,33.8500429,59.57700901,370.24623325,21.457955102842842,1.0436867827337986
507233064980992768,Stock_2,Risbud2025,106,S,L,34.275659,59.346258,384.9972,15.6599,-13.8137,5.5568,10.6933,10.9628,10.2609,0.7018,2.766,14.9,3.14,0.3162,0.7674,0.0041,0.0169,0.0249,-1.1406,-0.0617,10.79,10.39,,,,,,,,,,,34.275522,59.346319,True,33.8500429,59.57700901,370.24623325,14.897441755797487,1.0398409637297776
508247742417973376,Stock_2,Kos2024,105,S,L,29.868697,61.093985,386.2546,16.1329,-12.2716,3.5543,10.0539,10.2196,9.7519,0.4678,2.1195,22.92,3.01,2.4853,0.0399,0.0003,-0.0733,0.0232,-1.9995,-0.1521,6.49,22.2,,,,,,,,,,,29.868549,61.094039,True,33.8500429,59.57700901,370.24623325,22.922966647886042,1.0432370820075048
508180706572334848,Stock_2,Kos2024,105,S,L,28.369433,60.864458,373.0727,17.2531,-12.5487,8.1608,15.2594,16.0599,14.3843,1.6756,7.4004,19.73,1.98,3.0085,-0.2364,0.007,0.0246,0.0284,1.6753,-0.1056,13.92,14.17,,,,,,,,,,,28.369276,60.864514,True,33.8500429,59.57700901,370.24623325,19.725305704894037,1.0076340189208395
507792063564989568,Stock_2,Risbud2025,106,S,L,30.262893,59.249762,375.6231,16.7609,-12.7285,8.1692,13.0246,13.4298,12.4508,0.979,5.1509,13.21,0.98,1.8538,-0.2683,0.0152,0.1219,0.0133,0.9613,-0.0767,7.51,10.86,,,,,,,,,,,30.262747,59.249819,True,33.8500429,59.57700901,370.24623325,13.211361343395131,1.0145224077036576
507930464590036096,Stock_2,Kos2024,105,S,L,30.902275,59.891513,376.3331,16.6849,-12.997,1.2292,13.4437,13.9423,12.7825,1.1598,5.5658,11.62,6.13,1.5183,-0.423,0.0089,0.0768,0.016,-3.622,-0.0768,4.04,10.86,,,,,,,,,,,30.902127,59.891571,True,33.8500429,59.57700901,370.24623325,11.615203397065473,1.0164400504404052
509549186228623104,Stock_2,Kos2024,105,S,L,25.044469,59.535467,367.0114,17.7776,-11.2221,-59.7078,14.225,14.9267,13.406,1.5207,6.4016,28.86,65.59,4.4541,0.4169,0.0097,-0.4691,0.0116,-43.3368,-0.1119,25.22,14.17,,,,,,,,,,,25.044313,59.535517,True,33.8500429,59.57700901,370.24623325,28.860319421757442,0.9912630218500676
507311851862153088,Stock_2,Kos2024,105,S,L,32.969025,59.708514,381.5377,16.1377,-13.7616,9.4064,12.8718,13.3382,12.2347,1.1035,4.9641,11.69,2.17,0.4643,-0.729,0.0067,0.4562,0.0188,1.9992,-0.0692,4.72,10.86,,,,,,,,,,,32.968883,59.708575,True,33.8500429,59.57700901,370.24623325,11.69496808267931,1.0304971819723434
507188672201008896,Stock_2,Kos2024,105,S,L,31.541692,59.890469,378.0475,16.0142,-13.2204,6.1102,12.1599,12.554,11.5936,0.9604,4.2722,11.08,1.47,1.2048,-0.0385,0.007,0.3053,0.0172,-0.8788,-0.0756,1.33,10.86,,,,,,,,,,,31.54155,59.890528,True,33.8500429,59.57700901,370.24623325,11.079475803526236,1.0210704824233348
507294981230883200,Stock_2,Kos2024,105,S,L,33.541148,59.518663,384.1139,15.6365,-13.7888,23.0508,14.7428,15.559,13.8518,1.7072,6.8205,13.91,14.99,0.1671,-0.0621,0.0294,0.7122,0.0213,11.204,-0.0708,8.09,11.33,,,,,,,,,,,33.541011,59.518724,True,33.8500429,59.57700901,370.24623325,13.911198015497858,1.0374552541109479
507507290050421120,Stock_2,Kos2024,105,S,L,32.755387,59.963249,381.3682,15.992,-12.0309,6.7529,10.0029,10.2175,9.6351,0.5824,2.0962,11.97,2.25,0.673,0.3207,0.0012,-1.0726,0.0253,-0.6273,-0.0743,3.92,11.33,,,,,,,,,,,32.755245,59.963302,True,33.8500429,59.57700901,370.24623325,11.965710893665007,1.0300393785302608
507842812899032448,Stock_2,Kos2024,105,S,L,30.109268,59.735505,375.141,16.3891,-12.9499,7.822,13.9299,14.4767,13.2309,1.2458,6.0589,13.27,0.88,1.8958,0.1146,0.0121,0.2973,0.0158,0.4068,-0.0812,6.94,11.33,,,,,,,,,,,30.109124,59.735562,True,33.8500429,59.57700901,370.24623325,13.269047122297541,1.0132203012763534
507926268401708160,Stock_2,Kos2024,105,S,L,30.48553,59.807188,376.715,16.7583,-13.1567,12.5216,11.8643,12.2131,11.3437,0.8694,3.9842,12.91,5.41,1.713,-0.4494,0.0099,0.3818,0.0175,4.312,-0.084,4.98,11.81,,,,,,,,,,,30.485382,59.807246,True,33.8500429,59.57700901,370.24623325,12.905129592877552,1.0174715261603542
507967229510971648,Stock_2,Kos2024,105,S,L,31.257988,60.347476,377.4756,16.1936,-12.9472,9.3195,11.5264,11.862,11.0157,0.8463,3.642,12.21,2.12,1.5087,-0.0545,0.003,0.0146,0.0256,1.5499,-0.0814,3.84,11.81,,,,,,,,,,,31.257842,60.347534,True,33.8500429,59.57700901,370.24623325,12.21404920551729,1.0195258347034108
465147913095854976,Stock_2,Kos2024,105,S,L,39.714708,59.979236,400.7896,13.6278,-14.0813,10.604,12.0607,12.4737,11.4728,1.0009,4.0461,36.52,1.51,2.9769,0.324,0.0159,-0.1529,0.0118,1.4944,-0.057,34.59,11.81,,,,,,,,,,,39.714587,59.979299,True,33.8500429,59.57700901,370.24623325,36.52053549284629,1.0824947400055691
507947025983563008,Stock_2,Kos2024,105,S,L,30.212485,60.133898,376.4659,16.6389,-12.5095,7.1039,13.3311,13.791,12.7044,1.0866,5.4525,13.91,0.47,1.9091,-0.1227,0.0077,-0.2195,0.015,0.2805,-0.0899,5.95,12.75,,,,,,,,,,,30.212336,60.133954,True,33.8500429,59.57700901,370.24623325,13.909462426400374,1.0167987306593347
507898784914915712,Stock_2,Risbud2025,106,S,L,29.758277,60.055102,373.4587,16.6543,-12.7033,6.5013,14.353,14.9497,13.615,1.3347,6.4917,14.08,0.46,2.1112,0.0318,0.0105,0.0458,0.0196,-0.2841,-0.0808,8.83,10.86,,,,,,,,,,,29.758129,60.055158,True,33.8500429,59.57700901,370.24623325,14.075599800219097,1.008676568352367
507587210803400960,Stock_2,Kos2024,105,S,L,32.28929,60.583867,380.9949,16.4058,-13.0043,4.4273,14.2954,14.9706,13.4971,1.4735,6.3908,13.61,3.17,1.2725,-0.3585,0.0067,-0.5414,0.0248,-1.2521,-0.0858,5.03,12.75,,,,,,,,,,,32.289142,60.583925,True,33.8500429,59.57700901,370.24623325,13.606076637017198,1.0290311305955737
