input_source_id,source_id,ra,dec,ref_epoch,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,ra_error,dec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_params_solved,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_excess_noise,astrometric_excess_noise_sig,visibility_periods_used,ruwe,ipd_frac_multi_peak,ipd_gof_harmonic_amplitude,duplicated_source,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,phot_g_mean_flux_over_error,phot_bp_mean_flux_over_error,phot_rp_mean_flux_over_error,bp_rp,bp_g,g_rp,phot_bp_rp_excess_factor,radial_velocity,radial_velocity_error,rv_method_used,rv_nb_transits,rv_expected_sig_to_noise,rv_renormalised_gof,rv_chisq_pvalue,rv_time_duration,rv_amplitude_robust
460032336466314752,460032336466314752,46.43859428113902,56.86429899883774,2016.0,2.759885584845699,0.016283322125673294,12.652467662744254,0.01603078842163086,-17.072197942369126,0.019397303462028503,0.011197342537343502,0.013149893842637539,0.26943957805633545,0.01525144837796688,-0.08173317462205887,0.1531820148229599,-0.017457647249102592,0.1533311903476715,0.2918631434440613,0.07838311046361923,0.01573416404426098,0.2846599221229553,31,347,3,1.065470814704895,0.09620866179466248,10.083099365234375,21,1.0400270223617554,0,0.012970269657671452,False,12.952595710754395,13.467480659484863,12.275479316711426,3204.859619140625,825.8602905273438,1363.841552734375,1.1920013427734375,0.5148849487304688,0.6771163940429688,1.2366935014724731,10.352557182312012,3.0178346633911133,1,17,17.733308792114258,1.7440648078918457,0.14903320372104645,786.8748779296875,27.611309051513672
505427220214529152,505427220214529152,31.007568159743183,57.9777718174807,2016.0,2.861630996518532,0.014374777674674988,17.28530304987784,0.01087096519768238,-14.038144667980028,0.014769992791116238,0.007894418202340603,0.011486480012536049,0.13480955362319946,-0.1023472473025322,-0.10388842225074768,-0.09947551041841507,-0.15027575194835663,-0.14217394590377808,0.2504822313785553,0.28546854853630066,0.08227697759866714,0.11049114167690277,31,400,3,-1.1622029542922974,0.08276456594467163,11.421592712402344,19,0.9581049084663391,0,0.004627660382539034,False,11.80091381072998,12.095987319946289,11.344772338867188,3739.275146484375,1414.98583984375,2179.386474609375,0.7512149810791016,0.2950735092163086,0.45614147186279297,1.1933581829071045,7.203981876373291,0.7757639288902283,1,24,41.89748001098633,0.5139301419258118,0.5449023842811584,839.0569458007812,12.366239547729492
506932073676258688,506932073676258688,32.91063294026239,59.40696228724675,2016.0,2.5489521112066864,0.10116935521364212,16.7932127954875,0.09449532628059387,-13.694895857174934,0.14336131513118744,0.060182858258485794,0.07869066298007965,-0.4046754539012909,0.09471163898706436,0.20139780640602112,-0.17428837716579437,0.10661313682794571,-0.14352107048034668,0.30933672189712524,0.059831418097019196,-0.08435934782028198,-0.3467741906642914,95,377,19,108.24921417236328,0.8040774464607239,791.7766723632812,19,6.969600200653076,98,0.059860724955797195,False,12.405163764953613,12.112907409667969,11.052177429199219,1462.04931640625,667.5067749023438,658.1952514648438,1.06072998046875,-0.29225635528564453,1.3529863357543945,2.4127776622772217,13.923638343811035,4.235406398773193,2,3,10.109444618225098,,,702.3834838867188,
507192898448793088,507192898448793088,31.887523224395768,59.9442401498873,2016.0,2.6912194486978196,0.029560338705778122,16.498753893322885,0.027253825217485428,-13.361208250322486,0.03428437188267708,0.01720530539751053,0.020183676853775978,-0.32772043347358704,0.058675628155469894,-0.03087032586336136,-0.20242725312709808,0.006048138719052076,-0.12501634657382965,0.2921700179576874,0.09970374405384064,0.21109896898269653,-0.03793329745531082,31,512,5,2.016129970550537,0.017475439235568047,0.06631065905094147,23,1.0633063316345215,0,0.010402601212263107,False,15.41671371459961,16.260549545288086,14.517022132873535,3477.699462890625,498.23492431640625,1222.4755859375,1.7435274124145508,0.8438358306884766,0.8996915817260742,1.2974019050598145,,,,,,,,,
507250790304191744,507250790304191744,33.9541343805719,59.551940060807944,2016.0,2.7614733714512805,0.03147706389427185,16.130691269939454,0.026590807363390923,-13.622217439631616,0.03390372544527054,0.019068777561187744,0.024193856865167618,0.07091005891561508,0.07508770376443863,-0.10700523853302002,-0.06749779731035233,0.004221828654408455,-0.050633497536182404,-0.18575096130371094,0.24379862844944,-0.1183282881975174,-0.03804309293627739,31,375,0,32.88090896606445,0.25806811451911926,67.13687133789062,21,2.425459861755371,0,0.014433322474360466,False,13.209833145141602,13.790987968444824,12.474447250366211,3965.764404296875,676.656982421875,1333.8642578125,1.3165407180786133,0.5811548233032227,0.7353858947753906,1.2532668113708496,8.543002128601074,1.6709831953048706,2,22,17.276506423950195,,,757.8871459960938,
507585282355273472,507585282355273472,32.35639823510652,60.47465909409118,2016.0,2.673262115728382,0.010846424847841263,16.253210967547233,0.008945812471210957,-13.302596236700657,0.012039786204695702,0.004890447482466698,0.007887978106737137,-0.178871288895607,0.026846667751669884,-0.28772175312042236,-0.07638776302337646,0.030836712568998337,-0.04476020485162735,0.05883608013391495,0.09374219924211502,0.05199604481458664,-0.04247792065143585,31,733,3,-4.115724086761475,0.0,0.0,24,0.8936605453491211,0,0.013356028124690056,False,12.590643882751465,13.14698600769043,11.876687049865723,8487.5185546875,2319.154052734375,4282.5810546875,1.270298957824707,0.5563421249389648,0.7139568328857422,1.246889352798462,9.651909828186035,1.5566685199737549,1,49,41.75355529785156,10.887786865234375,0.0,934.3765258789062,37.80231475830078
508766780622805504,508766780622805504,30.844338795291534,62.0310747970064,2016.0,2.678540279493088,0.04619353264570236,16.95882129615,0.030374906957149506,-12.85863598859872,0.03758498653769493,0.026164071634411812,0.033528901636600494,-0.45353639125823975,0.05131036415696144,-0.244666188955307,0.0902869924902916,-0.013784365728497505,0.0879821628332138,-0.2752375304698944,0.04865960776805878,-0.009299769066274166,-0.6002407073974609,31,749,7,1.6153064966201782,0.13306963443756104,1.675708293914795,28,1.0417115688323975,0,0.006432728376239538,False,16.47418212890625,17.607107162475586,15.423563957214355,1481.8624267578125,209.1831512451172,596.5120239257812,2.1835432052612305,1.132925033569336,1.0506181716918945,1.3632392883300781,,,,,,,,,
507862226152384640,507862226152384640,29.54801831583254,59.59841121756506,2016.0,2.6387102223869743,0.029412059113383293,17.029148029778735,0.0264832004904747,-12.345810251566625,0.03118722327053547,0.018174909055233,0.02242092601954937,-0.11566604673862457,0.0194141436368227,0.03735104575753212,-0.14690113067626953,-0.052281077951192856,-0.15896278619766235,0.05443724989891052,0.1163010373711586,0.08091665804386139,-0.07677662372589111,31,423,2,17.00130844116211,0.22481578588485718,24.488447189331055,24,1.6413862705230713,0,0.015023873187601566,False,14.320189476013184,14.906115531921387,13.591565132141113,3587.12109375,689.8352661132812,1353.32861328125,1.3145503997802734,0.5859260559082031,0.7286243438720703,1.2462611198425293,7.618775367736816,3.912606954574585,2,22,7.516560077667236,,,934.552978515625,
507800653499420160,507800653499420160,29.720513464096637,59.21849163492125,2016.0,2.8603218484893986,0.0763462632894516,17.849208157920454,0.06802427023649216,-13.622271108503284,0.06884164363145828,0.042300280183553696,0.04878110811114311,-0.26069018244743347,0.009299705736339092,-0.030044948682188988,-0.012253211811184883,0.0398254469037056,-0.020677125081419945,-0.12877462804317474,0.12495876103639603,-0.05924030765891075,-0.1986507773399353,31,422,1,0.12818031013011932,0.0,0.0,20,1.0036413669586182,0,0.00396604323759675,False,17.09443473815918,18.35222816467285,15.981985092163086,1442.999755859375,87.24189758300781,330.8661804199219,2.3702430725097656,1.2577934265136719,1.1124496459960938,1.4004058837890625,,,,,,,,,
506917298988752768,506917298988752768,33.38800745700562,59.38289872446923,2016.0,2.735346683132272,0.020171670243144035,16.58386112894107,0.019116656854748726,-13.410565317176331,0.024727793410420418,0.012846175581216812,0.01705869846045971,-0.05587990581989288,0.022898875176906586,0.14094509184360504,-0.17419223487377167,0.023982645943760872,-0.1886526644229889,0.18092189729213715,-0.023550065234303474,0.13665392994880676,-0.06279018521308899,95,364,6,0.7049798965454102,0.1586463451385498,35.39918518066406,20,1.0255225896835327,0,0.017376527190208435,False,10.446722984313965,10.672680854797363,10.067384719848633,4049.013671875,2166.728515625,4956.5,0.6052961349487305,0.22595787048339844,0.37933826446533203,1.1859240531921387,6.68054723739624,2.1238741874694824,1,19,79.75154113769531,-0.07106797397136688,0.5720019936561584,777.1367797851562,22.30978775024414
